0 8 7 3 6 1 4 2 5 | 4 5076
0 8 7 2 6 3 4 1 5 | 3 17341
0 8 7 1 6 3 4 2 5 | 3 22267
0 8 7 2 6 1 4 3 5 | 3 26679
0 8 7 1 6 2 4 3 5 | 4 5352
0 8 7 3 6 2 1 4 5 | 4 5290
0 8 7 3 6 1 2 4 5 | 4 5070
0 8 7 2 6 3 1 4 5 | 3 6277
0 8 7 1 6 3 2 4 5 | 4 5290
0 8 7 2 6 1 3 4 5 | 3 22282
0 8 7 1 6 2 3 4 5 | 3 27166
0 8 7 5 4 6 3 2 1 | 4 5515
0 8 7 5 4 6 3 1 2 | 3 23139
0 8 7 5 4 6 2 3 1 | 3 13165
0 8 7 5 4 6 1 3 2 | 3 30496
0 8 7 5 4 6 2 1 3 | 4 5515
0 8 7 5 4 6 1 2 3 | 3 17388
0 8 7 5 3 6 4 2 1 | 4 5976
0 8 7 5 3 6 4 1 2 | 4 5250
0 8 7 5 2 6 4 3 1 | 3 10279
0 8 7 5 1 6 4 3 2 | 3 6264
0 8 7 5 2 6 4 1 3 | 3 8169
0 8 7 5 1 6 4 2 3 | 3 27592
0 8 7 5 3 6 2 4 1 | 3 23250
0 8 7 5 3 6 1 4 2 | 2 40319
0 8 7 5 2 6 3 4 1 | 3 6390
0 8 7 5 1 6 3 4 2 | 3 25365
0 8 7 5 2 6 1 4 3 | 4 5268
0 8 7 5 1 6 2 4 3 | 3 13188
0 8 7 5 3 6 2 1 4 | 3 27592
0 8 7 5 3 6 1 2 4 | 3 27971
0 8 7 5 2 6 3 1 4 | 3 32019
0 8 7 5 1 6 3 2 4 | 4 5439
0 8 7 5 2 6 1 3 4 | 4 5244
0 8 7 5 1 6 2 3 4 | 3 24531
0 8 7 4 5 6 3 2 1 | 3 20682
0 8 7 4 5 6 3 1 2 | 4 5493
0 8 7 4 5 6 2 3 1 | 4 5493
0 8 7 4 5 6 1 3 2 | 3 21660
0 8 7 4 5 6 2 1 3 | 3 24522
0 8 7 4 5 6 1 2 3 | 3 17341
0 8 7 3 5 6 4 2 1 | 3 24703
0 8 7 3 5 6 4 1 2 | 3 21660
0 8 7 2 5 6 4 3 1 | 3 13165
0 8 7 1 5 6 4 3 2 | 4 5538
0 8 7 2 5 6 4 1 3 | 3 24859
0 8 7 1 5 6 4 2 3 | 4 5616
0 8 7 3 5 6 2 4 1 | 3 12470
0 8 7 3 5 6 1 4 2 | 3 15750
0 8 7 2 5 6 3 4 1 | 4 5106
0 8 7 1 5 6 3 4 2 | 3 25684
0 8 7 2 5 6 1 4 3 | 3 18523
0 8 7 1 5 6 2 4 3 | 4 5496
0 8 7 3 5 6 2 1 4 | 3 11720
0 8 7 3 5 6 1 2 4 | 4 5100
0 8 7 2 5 6 3 1 4 | 4 5100
0 8 7 1 5 6 3 2 4 | 3 23116
0 8 7 2 5 6 1 3 4 | 3 8545
0 8 7 1 5 6 2 3 4 | 3 23081
0 8 7 4 3 6 5 2 1 | 3 6390
0 8 7 4 3 6 5 1 2 | 4 5252
0 8 7 4 2 6 5 3 1 | 4 5252
0 8 7 4 1 6 5 3 2 | 4 5567
0 8 7 4 2 6 5 1 3 | 4 5276
0 8 7 4 1 6 5 2 3 | 3 20812
0 8 7 3 4 6 5 2 1 | 3 12760
0 8 7 3 4 6 5 1 2 | 3 24667
0 8 7 2 4 6 5 3 1 | 4 5132
0 8 7 1 4 6 5 3 2 | 4 5540
